p,d,a
0.5,163,1.712
0.5,164,1.713
0.5,165,1.715
0.5,166,1.711
0.5,167,1.713
0.5,168,1.714
0.5,169,1.71
0.5,170,1.712
0.5,171,1.713
0.5,172,1.715
0.5,173,1.711
0.5,174,1.713
0.5,175,1.714
0.5,176,1.71
0.5,177,1.712
0.5,178,1.713
0.5,179,1.715
0.5,180,1.711
0.5,181,1.713
0.5,182,1.714
0.5,183,1.71
0.5,184,1.712
0.5,185,1.714
0.5,186,1.715
0.5,187,1.711
0.5,188,1.713
0.5,189,1.714
0.5,190,1.711
0.5,191,1.712
0.5,192,1.714
0.5,193,1.71
0.5,194,1.711
0.5,195,1.713
0.5,196,1.714
0.5,197,1.711
0.5,198,1.712
0.5,199,1.714
0.5,200,1.71
0.25,1,2.0
0.25,2,1.5
0.25,3,1.333
0.25,4,1.25
0.25,5,1.2
0.25,6,1.167
0.25,7,1.286
0.25,8,1.25
0.25,9,1.222
0.25,10,1.3
0.25,11,1.273
0.25,12,1.333
0.25,13,1.308
0.25,14,1.286
0.25,15,1.333
0.25,16,1.313
0.25,17,1.353
0.25,18,1.333
0.25,19,1.368
0.25,20,1.35
0.25,21,1.381
0.25,22,1.364
0.25,23,1.391
0.25,24,1.375
0.25,25,1.4
0.25,26,1.385
0.25,27,1.407
0.25,28,1.393
0.25,29,1.414
0.25,30,1.4
0.25,31,1.419
0.25,32,1.406
0.25,33,1.424
0.25,34,1.441
0.25,35,1.429
0.25,36,1.444
0.25,37,1.432
0.25,38,1.447
0.25,39,1.436
0.25,40,1.45
0.25,41,1.439
0.25,42,1.452
0.25,43,1.465
0.25,44,1.455
0.25,45,1.467
0.25,46,1.457
0.25,47,1.468
0.25,48,1.458
0.25,49,1.469
0.25,50,1.48
0.25,51,1.471
0.25,52,1.481
0.25,53,1.472
0.25,54,1.481
0.25,55,1.473
0.25,56,1.482
0.25,57,1.491
0.25,58,1.483
0.25,59,1.492
0.25,60,1.483
0.25,61,1.492
0.25,62,1.5
0.25,63,1.492
0.25,64,1.5
0.25,65,1.492
0.25,66,1.5
0.25,67,1.507
0.25,68,1.5
0.25,69,1.507
0.25,70,1.5
0.25,71,1.507
0.25,72,1.514
0.25,73,1.507
0.25,74,1.514
0.25,75,1.507
0.25,76,1.513
0.25,77,1.519
0.25,78,1.513
0.25,79,1.519
0.25,80,1.513
0.25,81,1.519
0.25,82,1.524
0.25,83,1.518
0.25,84,1.524
0.25,85,1.518
0.25,86,1.523
0.25,87,1.529
0.25,88,1.523
0.25,89,1.528
0.25,90,1.522
0.25,91,1.527
0.25,92,1.533
0.25,93,1.527
0.25,94,1.532
0.25,95,1.537
0.25,96,1.531
0.25,97,1.536
0.25,98,1.531
0.25,99,1.535
0.25,100,1.54
0.25,101,1.535
0.25,102,1.539
0.25,103,1.534
0.25,104,1.538
0.25,105,1.543
0.25,106,1.538
0.25,107,1.542
0.25,108,1.546
0.25,109,1.541
0.25,110,1.545
0.25,111,1.541
0.25,112,1.545
0.25,113,1.549
0.25,114,1.544
0.25,115,1.548
0.25,116,1.552
0.25,117,1.547
0.25,118,1.551
0.25,119,1.546
0.25,120,1.55
0.25,121,1.554
0.25,122,1.549
0.25,123,1.553
0.25,124,1.556
0.25,125,1.552
0.25,126,1.556
0.25,127,1.551
0.25,128,1.555
0.25,129,1.558
0.25,130,1.554
0.25,131,1.557
0.25,132,1.561
0.25,133,1.556
0.25,134,1.56
0.25,135,1.556
0.25,136,1.559
0.25,137,1.562
0.25,138,1.558
0.25,139,1.561
0.25,140,1.564
0.25,141,1.56
0.25,142,1.563
0.25,143,1.559
0.25,144,1.563
0.25,145,1.566
0.25,146,1.562
0.25,147,1.565
0.25,148,1.568
0.25,149,1.564
0.25,150,1.567
0.25,151,1.57
0.25,152,1.566
0.25,153,1.569
0.25,154,1.565
0.25,155,1.568
0.25,156,1.571
0.25,157,1.567
0.25,158,1.57
0.25,159,1.572
0.25,160,1.569
0.25,161,1.571
0.25,162,1.574
0.25,163,1.571
0.25,164,1.573
0.25,165,1.57
0.25,166,1.572
0.25,167,1.575
0.25,168,1.571
0.25,169,1.574
0.25,170,1.576
0.25,171,1.573
0.25,172,1.576
0.25,173,1.578
0.25,174,1.575
0.25,175,1.577
0.25,176,1.574
0.25,177,1.576
0.25,178,1.579
0.25,179,1.575
0.25,180,1.578
0.25,181,1.58
0.25,182,1.577
0.25,183,1.579
0.25,184,1.582
0.25,185,1.578
0.25,186,1.581
0.25,187,1.583
0.25,188,1.58
0.25,189,1.582
0.25,190,1.579
0.25,191,1.581
0.25,192,1.583
0.25,193,1.58
0.25,194,1.582
0.25,195,1.585
0.25,196,1.582
0.25,197,1.584
0.25,198,1.586
0.25,199,1.583
0.25,200,1.585
0.05,1,2.0
0.05,2,1.0
0.05,3,1.0
0.05,4,0.75
0.05,5,0.8
0.05,6,0.667
0.05,7,0.714
0.05,8,0.75
0.05,9,0.778
0.05,10,0.8
0.05,11,0.818
0.05,12,0.833
0.05,13,0.846
0.05,14,0.857
0.05,15,0.867
0.05,16,0.875
0.05,17,0.882
0.05,18,0.889
0.05,19,0.895
0.05,20,0.9
0.05,21,0.952
0.05,22,0.955
0.05,23,0.957
0.05,24,0.958
0.05,25,1.0
0.05,26,1.0
0.05,27,1.0
0.05,28,1.0
0.05,29,1.034
0.05,30,1.033
0.05,31,1.032
0.05,32,1.031
0.05,33,1.061
0.05,34,1.059
0.05,35,1.057
0.05,36,1.083
0.05,37,1.081
0.05,38,1.079
0.05,39,1.103
0.05,40,1.1
0.05,41,1.098
0.05,42,1.119
0.05,43,1.116
0.05,44,1.114
0.05,45,1.133
0.05,46,1.13
0.05,47,1.149
0.05,48,1.146
0.05,49,1.143
0.05,50,1.16
0.05,51,1.157
0.05,52,1.154
0.05,53,1.17
0.05,54,1.167
0.05,55,1.182
0.05,56,1.179
0.05,57,1.175
0.05,58,1.19
0.05,59,1.186
0.05,60,1.2
0.05,61,1.197
0.05,62,1.21
0.05,63,1.206
0.05,64,1.203
0.05,65,1.215
0.05,66,1.212
0.05,67,1.224
0.05,68,1.221
0.05,69,1.217
0.05,70,1.229
0.05,71,1.225
0.05,72,1.236
0.05,73,1.233
0.05,74,1.243
0.05,75,1.24
0.05,76,1.25
0.05,77,1.247
0.05,78,1.244
0.05,79,1.253
