p,d,a
0.05,22,0.545
0.05,23,0.522
0.05,24,0.542
0.05,25,0.56
0.05,26,0.538
0.05,27,0.556
0.05,28,0.536
0.05,29,0.552
0.05,30,0.567
0.05,31,0.548
0.05,32,0.563
0.05,33,0.576
0.05,34,0.559
0.05,35,0.571
0.05,36,0.583
0.05,37,0.568
0.05,38,0.579
0.05,39,0.59
0.05,40,0.575
0.05,41,0.585
0.05,42,0.571
0.05,43,0.581
0.05,44,0.591
0.05,45,0.6
0.05,46,0.587
0.05,47,0.596
0.05,48,0.604
0.05,49,0.592
0.05,50,0.6
0.05,51,0.608
0.05,52,0.596
0.05,53,0.604
0.05,54,0.611
0.05,55,0.6
0.05,56,0.607
0.05,57,0.614
0.05,58,0.603
0.05,59,0.61
0.05,60,0.617
0.05,61,0.607
0.05,62,0.613
0.05,63,0.619
0.05,64,0.625
0.05,65,0.615
0.05,66,0.621
0.05,67,0.627
0.05,68,0.618
0.05,69,0.623
0.05,70,0.629
0.05,71,0.634
0.05,72,0.625
0.05,73,0.63
0.05,74,0.635
0.05,75,0.627
0.05,76,0.632
0.05,77,0.636
0.05,78,0.641
0.05,79,0.633
0.05,80,0.638
0.05,81,0.642
0.05,82,0.634
0.05,83,0.639
0.05,84,0.643
0.05,85,0.647
0.05,86,0.64
0.05,87,0.644
0.05,88,0.648
0.05,89,0.64
0.05,90,0.644
0.05,91,0.648
0.05,92,0.652
0.05,93,0.645
0.05,94,0.649
0.05,95,0.653
0.05,96,0.656
0.05,97,0.649
0.05,98,0.653
0.05,99,0.657
0.05,100,0.66
0.05,101,0.653
0.05,102,0.657
0.05,103,0.66
0.05,104,0.654
0.05,105,0.657
0.05,106,0.66
0.05,107,0.664
0.05,108,0.657
0.05,109,0.661
0.05,110,0.664
0.05,111,0.667
0.05,112,0.661
0.05,113,0.664
0.05,114,0.667
0.05,115,0.67
0.05,116,0.664
0.05,117,0.667
0.05,118,0.669
0.05,119,0.672
0.05,120,0.667
0.05,121,0.669
0.05,122,0.672
0.05,123,0.675
0.05,124,0.669
0.05,125,0.672
0.05,126,0.675
0.05,127,0.677
0.05,128,0.672
0.05,129,0.674
0.05,130,0.677
0.05,131,0.679
0.05,132,0.674
0.05,133,0.677
0.05,134,0.679
0.05,135,0.674
0.05,136,0.676
0.05,137,0.679
0.05,138,0.681
0.05,139,0.683
0.05,140,0.679
0.05,141,0.681
0.05,142,0.683
0.05,143,0.685
0.05,144,0.681
0.05,145,0.683
0.05,146,0.685
0.05,147,0.687
0.05,148,0.682
0.05,149,0.685
0.05,150,0.687
0.05,151,0.689
0.05,152,0.684
0.05,153,0.686
0.05,154,0.688
0.05,155,0.69
0.05,156,0.686
0.05,157,0.688
0.05,158,0.69
0.05,159,0.692
0.05,160,0.688
0.05,161,0.689
0.05,162,0.691
0.05,163,0.693
0.05,164,0.689
0.05,165,0.691
0.05,166,0.693
0.05,167,0.695
0.05,168,0.69
0.05,169,0.692
0.05,170,0.694
0.05,171,0.696
0.05,172,0.698
0.05,173,0.694
0.05,174,0.695
0.05,175,0.697
0.05,176,0.699
0.05,177,0.695
0.05,178,0.697
0.05,179,0.698
0.05,180,0.7
0.05,181,0.696
0.05,182,0.698
0.05,183,0.699
0.05,184,0.701
0.05,185,0.697
0.05,186,0.699
0.05,187,0.701
0.05,188,0.702
0.05,189,0.704
0.05,190,0.7
0.05,191,0.702
0.05,192,0.703
0.05,193,0.705
0.05,194,0.701
0.05,195,0.703
0.05,196,0.704
0.05,197,0.706
0.05,198,0.702
0.05,199,0.704
0.05,200,0.705
0.01,1,2.0
0.01,2,1.0
0.01,3,0.667
0.01,4,0.75
0.01,5,0.6
0.01,6,0.5
0.01,7,0.429
0.01,8,0.5
0.01,9,0.444
0.01,10,0.4
0.01,11,0.364
0.01,12,0.417
0.01,13,0.385
0.01,14,0.357
0.01,15,0.4
0.01,16,0.375
0.01,17,0.412
0.01,18,0.389
0.01,19,0.368
0.01,20,0.4
0.01,21,0.381
0.01,22,0.409
0.01,23,0.391
0.01,24,0.417
0.01,25,0.4
0.01,26,0.423
0.01,27,0.407
0.01,28,0.429
0.01,29,0.414
0.01,30,0.433
0.01,31,0.452
0.01,32,0.438
0.01,33,0.455
0.01,34,0.441
0.01,35,0.457
0.01,36,0.444
0.01,37,0.459
0.01,38,0.447
0.01,39,0.462
0.01,40,0.475
0.01,41,0.463
0.01,42,0.476
0.01,43,0.465
0.01,44,0.477
0.01,45,0.489
0.01,46,0.478
0.01,47,0.489
0.01,48,0.479
0.01,49,0.49
0.01,50,0.5
0.01,51,0.49
0.01,52,0.5
0.01,53,0.491
0.01,54,0.5
0.01,55,0.509
0.01,56,0.5
0.01,57,0.509
0.01,58,0.517
0.01,59,0.508
0.01,60,0.517
0.01,61,0.508
0.01,62,0.516
0.01,63,0.524
0.01,64,0.516
0.01,65,0.523
0.01,66,0.53
0.01,67,0.522
0.01,68,0.529
0.01,69,0.536
0.01,70,0.529
0.01,71,0.535
0.01,72,0.542
0.01,73,0.534
0.01,74,0.541
0.01,75,0.547
0.01,76,0.539
0.01,77,0.545
0.01,78,0.551
0.01,79,0.544
0.01,80,0.55
0.01,81,0.556
0.01,82,0.549
0.01,83,0.554
0.01,84,0.548
0.01,85,0.553
0.01,86,0.558
0.01,87,0.563
0.01,88,0.557
0.01,89,0.562
0.01,90,0.567
0.01,91,0.56
0.01,92,0.565
0.01,93,0.57
0.01,94,0.564
0.01,95,0.568
0.01,96,0.573
0.01,97,0.567
0.01,98,0.571
0.01,99,0.576
0.01,100,0.57
0.01,101,0.574
0.01,102,0.578
0.01,103,0.573
0.01,104,0.577
0.01,105,0.581
0.01,106,0.575
0.01,107,0.579
0.01,108,0.583
0.01,109,0.587
0.01,110,0.582
